61,63.0,12070.64,15365.74,0.0
61,64.0,12069.13,15365.75,1.0
61,65.0,12066.29,15365.77,1.0
61,66.0,12061.75,15365.8,1.0
61,67.0,12054.62,15365.85,1.0
61,68.0,12045.76,15365.91,1.0
61,69.0,12034.37,15365.98,1.0
61,70.0,12023.68,15366.06,1.0
61,71.0,12017.08,15366.1,1.0
61,72.0,12010.55,15366.96,1.0
61,73.0,12008.25,15370.52,1.0
61,74.0,12007.4,15376.28,1.0
61,75.0,12001.46,15380.9,1.0
61,76.0,11994.1,15381.43,1.0
61,77.0,11987.19,15381.98,1.0
61,78.0,11983.58,15387.14,1.0
61,79.0,11983.18,15393.93,1.0
61,80.0,11982.69,15402.11,1.0
61,81.0,11982.09,15412.28,1.0
61,82.0,11981.33,15424.98,1.0
61,83.0,11980.44,15440.11,1.0
61,84.0,11979.43,15457.09,1.0
61,85.0,11978.32,15475.7,1.0
61,86.0,11977.07,15496.74,1.0
61,87.0,11975.81,15518.1,1.0
61,88.0,11974.8,15535.07,1.0
61,89.0,11974.03,15548.08,1.0
61,90.0,11973.51,15556.83,1.0
61,91.0,11972.64,15562.3,1.0
61,92.0,11967.26,15567.59,1.0
61,93.0,11958.13,15569.27,1.0
61,94.0,11946.78,15570.78,1.0
61,95.0,11933.91,15572.49,1.0
61,96.0,11918.96,15574.48,1.0
61,97.0,11901.89,15576.75,1.0
61,98.0,11883.12,15579.25,1.0
61,99.0,11862.76,15581.96,1.0
61,100.0,11841.07,15584.85,1.0
61,101.0,11817.62,15587.97,1.0
61,102.0,11796.35,15590.81,1.0
61,103.0,11779.51,15593.05,1.0
61,104.0,11767.13,15594.7,1.0
61,105.0,11759.2,15595.75,1.0
61,106.0,11754.93,15596.32,1.0
61,107.0,11752.82,15594.63,1.0
61,108.0,11755.04,15593.08,1.0
61,109.0,11760.36,15592.37,1.0
61,110.0,11767.95,15591.36,1.0
61,111.0,11777.16,15590.13,1.0
61,112.0,11788.86,15588.58,1.0
61,113.0,11803.05,15586.69,1.0
61,114.0,11818.92,15584.57,1.0
61,115.0,11836.66,15582.21,1.0
61,116.0,11856.06,15579.63,1.0
61,117.0,11876.92,15576.85,1.0
61,118.0,11899.58,15573.83,1.0
61,119.0,11924.03,15570.57,1.0
61,120.0,11948.06,15567.37,1.0
